episode,score,smoothed_score,completion,smoothed_completion,travel_time,average_travel_time,normalized_deadlocks,eps_start,"action_probs-[B, L, F, R, S]",n_eval_episodes,eval_score,eval_completion,eval_travel_time,eval_deadlocks
100,-0.522077922077922,-0.7011494650415127,0.14285714285714285,0.05347034870043059,54,60.51,0.0,0.36603234127322926,[0.06042296 0.31722054 0.16314199 0.25075529 0.20845921],25,-0.5555981422475988,0.0,59.96,0.0
200,-0.4729064039408867,-0.5456956626776721,0.0,0.08790755948531308,57,60.145,0.0,0.13397967485796175,[0.07795699 0.38978495 0.02419355 0.20698925 0.30107527],25,-0.5059370235295849,0.0,61.48,0.0
300,-0.5444743935309974,-0.4777273930557881,0.0,0.08008157022487665,52,59.56,0.0,0.04904089407128576,[0.25510204 0.12244898 0.05442177 0.00680272 0.56122449],25,-0.4126687328957295,0.06285714285714285,57.92,0.0
400,-0.11948051948051948,-0.43560095394614784,0.8571428571428571,0.10202619940137951,54,58.845,0.0,0.017950553275045134,[0.02118644 0.57627119 0.0720339  0.31779661 0.01271186],25,-0.32915639863594676,0.28,61.36,0.0
500,-0.2459016393442623,-0.4098338267513966,0.2857142857142857,0.1626254383487831,60,58.464,0.0,0.01,[0.01744186 0.2877907  0.27034884 0.15988372 0.26453488],25,-0.3126363632652392,0.2857142857142857,57.36,0.0
600,-0.23233908948194662,-0.3835409003024582,0.7142857142857143,0.21551393732010274,90,58.35666666666667,0.0,0.01,[0.00555556 0.34444444 0.08055556 0.55555556 0.01388889],25,-0.31317565906165185,0.2857142857142857,55.32,0.0
700,-0.1978021978021978,-0.3518072479638913,0.5714285714285714,0.2776538484563824,64,58.238571428571426,0.0,0.01,[0.00619195 0.86068111 0.0247678  0.10835913 0.        ],25,-0.31518943640228625,0.31999999999999995,56.48,0.0
800,-0.3025210084033613,-0.31051543284184896,0.2857142857142857,0.3530090579481424,50,58.1675,0.0,0.01,[0.032 0.3   0.548 0.12  0.   ],25,-0.2378145597231924,0.45714285714285713,53.76,0.0
900,-0.15763546798029557,-0.2847898478594377,0.42857142857142855,0.40054338983941506,28,58.01777777777778,0.0,0.01,[0.10843373 0.45783133 0.29518072 0.13253012 0.0060241 ],25,-0.17093377852557634,0.5942857142857143,55.04,0.0
1000,-0.14285714285714285,-0.22315348493455386,0.7142857142857143,0.5128165717006261,55,57.671,0.0,0.01,[0.01171875 0.12890625 0.33984375 0.51953125 0.        ],25,-0.17132694186624114,0.6742857142857142,53.6,0.0
1100,0.0,-0.21993162889305898,1.0,0.5375026488231042,46,57.38545454545454,0.0,0.01,[0.02247191 0.60299625 0.05243446 0.31460674 0.00749064],25,-0.26987856442797126,0.4571428571428571,58.0,0.0
1200,-0.1457725947521866,-0.19548145135279693,0.8571428571428571,0.5871489458364936,48,57.165,0.0,0.01,[0.00985222 0.5862069  0.22660099 0.14285714 0.03448276],25,-0.2772307522846565,0.30857142857142855,56.16,0.0
1300,-0.41229656419529837,-0.21744782198799575,0.42857142857142855,0.5554935922776629,78,57.20076923076923,0.0,0.01,[0.01428571 0.6452381  0.01904762 0.1952381  0.12619048],25,-0.27122284178890754,0.5142857142857142,53.48,0.0
1400,-0.13186813186813187,-0.18215985379163888,0.8571428571428571,0.6191622462291634,51,56.918571428571425,0.0,0.01,[0.02192982 0.72807018 0.04824561 0.20175439 0.        ],25,-0.21467191157518542,0.5142857142857143,54.24,0.0
1500,-0.24949698189134809,-0.1656887680375958,0.5714285714285714,0.6507583721159014,70,56.648,0.0,0.01,[0.06493506 0.7012987  0.04220779 0.18831169 0.00324675],25,-0.23859321260130592,0.5199999999999999,53.92,0.0
1600,-0.2767857142857143,-0.18637795135821605,0.5714285714285714,0.6185382605156003,63,56.309375,0.0,0.01,[0.04150943 0.31320755 0.29811321 0.33962264 0.00754717],25,-0.23457352505350987,0.5257142857142858,56.76,0.0
1700,-0.45182724252491696,-0.20115707352413176,0.2857142857142857,0.6056300970853624,85,56.190588235294115,0.0,0.01,[0.02398082 0.3117506  0.32374101 0.0647482  0.27577938],25,-0.16784157980245473,0.6685714285714286,52.6,0.0
1800,-0.2012987012987013,-0.18198538578356815,0.7142857142857143,0.6335708292341885,65,56.01222222222222,0.0,0.01,[0.05109489 0.60948905 0.22262774 0.11678832 0.        ],25,-0.19022585385685165,0.64,52.6,0.0
