episode,score,smoothed_score,completion,smoothed_completion,travel_time,average_travel_time,normalized_deadlocks,eps_start,"action_probs-[B, L, F, R, S]",n_eval_episodes,eval_score,eval_completion,eval_travel_time,eval_deadlocks
100,-0.4237410071942446,-0.6816991957131733,0.1,0.06719399838352043,138,117.95,0.0,0.36603234127322926,[0.09574468 0.37137331 0.06769826 0.155706   0.30947776],25,-0.37155943033652505,0.0,118.72,0.0
200,-0.4661016949152542,-0.5627939138737473,0.2,0.06591284084503204,117,118.57,0.0,0.13397967485796175,[0.07127193 0.29934211 0.02741228 0.2379386  0.36403509],25,-0.565308735223611,0.0,110.72,0.0
300,-0.4369230769230769,-0.535004125986141,0.0,0.05381976055136586,129,117.56333333333333,0.0,0.04904089407128576,[0.04175589 0.17880086 0.00642398 0.02997859 0.74304069],25,-0.3721641942632436,0.0,121.6,0.0
400,-0.56015625,-0.5087885394363201,0.0,0.060783743735037074,127,117.375,0.0,0.017950553275045134,[0.10163339 0.00181488 0.00181488 0.00998185 0.88475499],25,-0.38361023909050634,0.0,120.76,0.0
500,-0.46885245901639344,-0.47700041518200637,0.0,0.07278459506727342,121,116.946,0.0,0.01,[0.0030896  0.02780639 0.00205973 0.52729145 0.43975283],25,-0.46131957335101315,0.06000000000000001,117.2,0.0
600,-0.4888,-0.4863173819057078,0.2,0.0623839054661411,124,116.82,0.0,0.01,[0.36082474 0.20824742 0.00618557 0.40721649 0.01752577],25,-0.41167738331706716,0.172,123.04,0.0
700,-0.3951612903225806,-0.47039714801384197,0.0,0.06254630364003771,123,116.82428571428571,0.0,0.01,[0.76425856 0.07889734 0.03231939 0.01140684 0.11311787],25,-0.3863491347848403,0.0,120.8,0.0
800,-0.49230769230769234,-0.4674140261737829,0.0,0.06632125589836951,129,116.67,0.0,0.01,[0.47110676 0.03917728 0.00391773 0.46425073 0.0215475 ],25,-0.40412806834150655,0.004,115.72,0.0
900,-0.48333333333333334,-0.4581254595855682,0.0,0.05631978009741101,149,116.62777777777778,0.0,0.01,[0.15668581 0.00164069 0.00246103 0.00328138 0.83593109],25,-0.4003920289002974,0.0,117.08,0.0
1000,-0.35037593984962406,-0.4311150091802965,0.1,0.11489888033839217,132,116.644,0.0,0.01,[0.73047305 0.11221122 0.00220022 0.14961496 0.00550055],25,-0.3860452328160989,0.044000000000000004,115.72,0.0
1100,-0.3605504587155963,-0.3932043726736637,0.3,0.20916807536096696,108,116.35454545454546,0.0,0.01,[0.06446777 0.66116942 0.00449775 0.21889055 0.05097451],25,-0.2951348525816006,0.4040000000000001,115.4,0.000125
1200,-0.5693069306930693,-0.34703901764908196,0.3,0.29309715750508303,100,116.465,0.0,0.01,[0.49477807 0.2310705  0.         0.21279373 0.0613577 ],25,-0.3659187544678622,0.252,114.0,0.0
1300,-0.4656,-0.3548695048880817,0.1,0.2827639622542512,124,116.50846153846153,0.0,0.01,[0.53912214 0.17843511 0.01145038 0.1860687  0.08492366],25,-0.31576544917596816,0.35600000000000004,114.2,0.0
1400,-0.26571428571428574,-0.32352433650462575,0.6,0.32476680662302504,104,116.16857142857143,0.0,0.01,[0.37416107 0.15268456 0.00167785 0.36577181 0.1057047 ],25,-0.28206360540860664,0.3839999999999999,121.04,0.0
1500,-0.42389380530973453,-0.30131405785702653,0.2,0.37610660708056093,112,115.888,0.0,0.01,[0.59675676 0.01189189 0.         0.3427027  0.04864865],25,-0.3292086411367774,0.24799999999999997,117.56,0.0
1600,-0.22295081967213115,-0.28816353028769043,0.4,0.3934323112406314,121,115.996875,0.0,0.01,[0.07503234 0.03751617 0.04139715 0.84346701 0.00258732],25,-0.2614483753896284,0.46,114.44,0.0
1700,-0.46136363636363636,-0.30323651375712557,0.0,0.3759648331100268,131,116.00529411764705,0.0,0.01,[0.16805171 0.37765466 0.02216066 0.20960295 0.22253001],25,-0.26489389254338275,0.41600000000000004,110.36,0.0
1800,-0.42280701754385963,-0.3200534272260568,0.2,0.3441784334813583,113,116.07888888888888,0.0,0.01,[0.34861407 0.2803838  0.15031983 0.21108742 0.00959488],25,-0.3008084656435039,0.3360000000000001,118.12,0.0
1900,-0.22040816326530613,-0.3144881908170306,0.5,0.3442251400801858,146,116.10526315789474,0.0,0.01,[0.70575693 0.07782516 0.02985075 0.15778252 0.02878465],25,-0.31021052032409957,0.312,114.52,0.0
2000,-0.31,-0.306288398919145,0.4,0.366885927198939,119,116.016,0.0,0.01,[0.22639225 0.34624697 0.01937046 0.36561743 0.04237288],25,-0.3399657746636728,0.14,123.48,0.0
2100,-0.3688,-0.2885518762390848,0.4,0.40845823579874446,124,116.12571428571428,0.0,0.01,[0.42358604 0.3188929  0.00481348 0.18411552 0.06859206],25,-0.30466192251935603,0.364,109.12,0.0
2200,-0.37023809523809526,-0.2832367192505802,0.2,0.4007115995989456,83,116.175,0.0,0.01,[0.21966206 0.03993856 0.01843318 0.68970814 0.03225806],25,-0.2538115024792152,0.43199999999999994,113.96,0.0
2300,-0.12900763358778625,-0.27428780831005023,0.6,0.4283341131875024,130,116.19304347826088,0.0,0.01,[0.14613181 0.51002865 0.01002865 0.32091691 0.01289398],25,-0.3299020928520038,0.264,118.12,0.0
2400,-0.38229166666666664,-0.30146761321008775,0.3,0.387360521131606,95,116.16125,0.0,0.01,[0.5077574  0.0493653  0.00423131 0.29337094 0.14527504],25,-0.43388222124816056,0.124,117.64,0.0
2500,-0.3403361344537815,-0.2894866013763833,0.2,0.40323264408580645,118,116.1212,0.0,0.01,[0.3358209  0.23347548 0.02132196 0.35501066 0.054371  ],25,-0.2473326941885639,0.44,120.0,0.0
2600,-0.43410852713178294,-0.26272109421025314,0.1,0.4443156396421415,128,116.15692307692308,0.0,0.01,[0.07559809 0.03923445 0.06794258 0.81148325 0.00574163],25,-0.2815113847108847,0.412,110.08,0.0
2700,-0.14297520661157026,-0.2696771399193137,0.8,0.4348238996756456,120,116.08,0.0,0.01,[0.31630972 0.05436573 0.01317957 0.6062603  0.00988468],25,-0.28033810866176456,0.39599999999999996,109.84,0.0001923076923076923
2800,-0.2414814814814815,-0.268464451032392,0.4,0.43817210922849736,134,116.08178571428572,0.0,0.01,[0.25       0.11910377 0.04716981 0.52358491 0.06014151],25,-0.30581229921938297,0.324,124.48,0.0
2900,-0.46942148760330576,-0.279483447992301,0.4,0.4195020693596066,120,116.16586206896552,0.0,0.01,[0.37076023 0.20467836 0.01403509 0.37309942 0.0374269 ],25,-0.24068346845242744,0.512,106.84,0.0
3000,-0.5235294117647059,-0.27638953645782055,0.1,0.4248452680852158,84,116.104,0.0,0.01,[0.81639929 0.03921569 0.00891266 0.13012478 0.00534759],25,-0.28829623127745235,0.32799999999999996,122.24,0.0
3100,-0.06896551724137931,-0.27225346518636884,0.8,0.4316674696666931,86,116.11129032258064,0.0,0.01,[0.33688699 0.32622601 0.         0.26012793 0.07675906],25,-0.30582270733277556,0.348,119.6,0.0
3200,-0.3907407407407407,-0.2778170530317605,0.2,0.43619563723690674,107,116.1321875,0.0,0.01,[0.44707521 0.08495822 0.06963788 0.39693593 0.00139276],25,-0.3510023217134568,0.192,118.2,0.0
3300,-0.2528925619834711,-0.2649045568899953,0.3,0.44714523125368033,120,116.12757575757576,0.0,0.01,[0.70286576 0.04223228 0.0015083  0.25037707 0.00301659],25,-0.22406439985286591,0.508,112.12,0.0002474226804123711
3400,-0.4097560975609756,-0.2863063295197942,0.2,0.41212657160870175,122,116.12735294117647,0.0,0.01,[0.30239833 0.21272158 0.13660063 0.25234619 0.09593326],25,-0.37096607339429843,0.244,110.12,0.0
3500,-0.11908396946564885,-0.25885608215786604,0.8,0.4648251311189496,130,116.12685714285715,0.0,0.01,[0.18997912 0.24008351 0.13152401 0.434238   0.00417537],25,-0.40981877006840794,0.172,117.68,0.0
3600,-0.3271428571428571,-0.2774066396612375,0.2,0.4153978992765335,139,116.10833333333333,0.0,0.01,[0.20845624 0.24975418 0.00294985 0.49557522 0.0432645 ],25,-0.3558058766887298,0.264,113.44,0.0
3700,-0.14424778761061946,-0.28081914820422305,0.6,0.4255356483302782,112,116.09864864864865,0.0,0.01,[0.20298507 0.26716418 0.00447761 0.48656716 0.03880597],25,-0.27540680572830956,0.46,115.04,0.0
3800,-0.3402061855670103,-0.2630363087850669,0.4,0.4617352524362841,96,116.08421052631579,0.0,0.01,[0.34285714 0.11558442 0.00909091 0.52337662 0.00909091],25,-0.31389694917342265,0.35600000000000004,115.56,0.0
3900,-0.048214285714285716,-0.26322605404478067,0.9,0.45525705707189135,167,116.1248717948718,0.0,0.01,[0.37089872 0.20114123 0.00570613 0.41940086 0.00285307],25,-0.27090560291640264,0.46399999999999997,116.88,0.0
4000,-0.2294736842105263,-0.27424445862881314,0.7,0.4331165121355596,94,116.15875,0.0,0.01,[0.59966499 0.11725293 0.01005025 0.26968174 0.00335008],25,-0.2892787120937191,0.39599999999999996,119.12,0.0
