episode,score,smoothed_score,completion,smoothed_completion,travel_time,average_travel_time,normalized_deadlocks,eps_start,"action_probs-[B, L, F, R, S]",n_eval_episodes,eval_score,eval_completion,eval_travel_time,eval_deadlocks
100,-0.586065574,-0.995860656,0.5,0.005,60,60,0,0.99,[0.23004695 0.21126761 0.15492958 0.20657277 0.1971831 ],25,-0.538393657,0.05,57.8,0
200,-0.66,-0.695395244,0,0.07720276,49,56.67326733,0,0.362372018,[0.06122449 0.05612245 0.53571429 0.08163265 0.26530612],25,-0.569553188,0,58.72,0
300,-0.107142857,-0.587062084,0.75,0.075435806,62,55.96517413,0,0.132639878,[0.05851064 0.12234043 0.61170213 0.06382979 0.14361702],25,-0.446226976,0.03,53.64,0
400,-0.448113208,-0.538758797,0,0.072050394,52,55.84385382,0,0.048550485,[0.00507614 0.01522843 0.6751269  0.1319797  0.17258883],25,-0.429710158,0.1,58.56,0
500,-0.390625,-0.51992457,0,0.060747709,47,56.03740648,0,0.017771048,[0.05063291 0.00632911 0.5        0.2278481  0.21518987],25,-0.480143011,0.01,57.72,0
600,-0.509259259,-0.48233207,0,0.088803048,53,55.84431138,0,0.01,[0.48341232 0.00473934 0.26540284 0.01421801 0.23222749],25,-0.52206084,0.01,53.84,0
700,-0.353174603,-0.45201039,0.25,0.124321774,62,55.78535774,0,0.01,[0.         0.21393035 0.42288557 0.00995025 0.35323383],25,-0.41712587,0.08,57.64,0
800,-0.508474576,-0.424919556,0,0.200136633,58,55.72467903,0,0.01,[0.00990099 0.44554455 0.32673267 0.04455446 0.17326733],25,-0.329093979,0.29,54.44,0
900,-0.074626866,-0.390117933,0.75,0.259445458,66,55.65667915,0,0.01,[0.02678571 0.02232143 0.72321429 0.05357143 0.17410714],25,-0.349456381,0.29,53.16,0
1000,0,-0.351775078,1,0.313874025,41,55.52608213,0,0.01,[0.         0.03676471 0.91911765 0.04411765 0.        ],25,-0.388787454,0.3,53.28,0
1100,-0.310185185,-0.30541318,0.75,0.392411,53,55.44455544,0,0.01,[0.19298246 0.19298246 0.56725146 0.04678363 0.        ],25,-0.330995243,0.46,49.76,0
1200,-0.33490566,-0.28216026,0.5,0.45609049,52,55.18165304,0,0.01,[0.         0.74358974 0.19230769 0.06410256 0.        ],25,-0.279559398,0.45,54.32,0
1300,-0.054347826,-0.295193397,0.75,0.431351094,45,55.34138218,0,0.01,[0.         0.35714286 0.60714286 0.02678571 0.00892857],25,-0.271905344,0.44,52,0
1400,-0.193037975,-0.282298097,0.25,0.450576667,78,55.23750961,0,0.01,[0.         0.09012876 0.41201717 0.45922747 0.03862661],25,-0.310795502,0.4,54.72,0
1500,-0.326612903,-0.289606257,0.25,0.430828058,61,55.13847252,0,0.01,[0.0049505  0.03465347 0.54455446 0.29207921 0.12376238],25,-0.261772068,0.55,55.28,0
1600,0,-0.254881129,1,0.480804476,49,54.94137242,0,0.01,[0.00793651 0.07142857 0.84920635 0.07142857 0.        ],25,-0.274673507,0.45,52.52,0
1700,-0.081632653,-0.227642995,0.75,0.537773728,48,54.69206746,0,0.01,[0.         0.7480315  0.24409449 0.00787402 0.        ],25,-0.187347501,0.59,44.28,0
1800,0,-0.237816752,1,0.517576111,36,54.70664315,0,0.01,[0.         0.12195122 0.80487805 0.07317073 0.        ],25,-0.166671812,0.66,48.12,0
1900,-0.205223881,-0.225492053,0.5,0.534018979,66,54.6579678,0,0.01,[0.00534759 0.01069519 0.95187166 0.02673797 0.00534759],25,-0.212872308,0.59,51.76,0
2000,-0.259433962,-0.200996147,0.5,0.595418687,52,54.53971594,0,0.01,[0.         0.05263158 0.68421053 0.25657895 0.00657895],25,-0.25470365,0.51,55.84,0
2100,0,-0.188881176,1,0.615753288,46,54.28885557,0,0.01,[0.         0.04195804 0.92307692 0.03496503 0.        ],25,-0.225755664,0.6,49.32,0
2200,-0.339285714,-0.162196146,0.25,0.678459153,55,54.08138981,0,0.01,[0.         0.04395604 0.7032967  0.24725275 0.00549451],25,-0.186462903,0.64,52.68,0
2300,0,-0.162085539,1,0.674458177,41,53.92776011,0,0.01,[0.         0.03597122 0.89928058 0.0647482  0.        ],25,-0.094209935,0.81,47.52,0
2400,-0.043103448,-0.15865294,0.75,0.664602985,57,53.81573229,0,0.01,[0.        0.078125  0.828125  0.0859375 0.0078125],25,-0.185876232,0.67,46.96,0
2500,0,-0.155308671,1,0.688983493,39,53.71137026,0,0.01,[0.01612903 0.07258065 0.80645161 0.10483871 0.        ],25,-0.114804325,0.74,49.04,0
2600,0,-0.178564625,1,0.64062434,33,53.64014394,0,0.01,[0.01801802 0.04504505 0.9009009  0.03603604 0.        ],25,-0.144125002,0.69,50.88,0
2700,-0.203846154,-0.154431241,0.5,0.676844184,64,53.54901961,0,0.01,[0.         0.34065934 0.64835165 0.01098901 0.        ],25,-0.144158788,0.67,49.88,0
2800,-0.260416667,-0.132870567,0.5,0.716153537,71,53.37615698,0,0.01,[0.         0.15606936 0.73988439 0.10404624 0.        ],25,-0.117187033,0.79,46.64,0
2900,0,-0.132701355,1,0.707255684,53,53.27990004,0,0.01,[0.         0.05147059 0.91176471 0.03676471 0.        ],25,-0.102170842,0.77,45.08,0
3000,-0.383561644,-0.159241767,0.25,0.688049229,72,53.17855912,0,0.01,[0.    0.03  0.35  0.615 0.005],25,-0.113967917,0.75,48.6,0
3100,-0.244680851,-0.148641027,0.5,0.702800805,46,53.03965345,0,0.01,[0.    0.184 0.712 0.096 0.008],25,-0.13354708,0.7,51.32,0
3200,0,-0.146619272,1,0.714476323,37,52.88939052,0,0.01,[0.         0.05172414 0.86206897 0.06896552 0.01724138],25,-0.164127037,0.67,47.52,0
3300,0,-0.131406859,1,0.728091183,40,52.74289285,0,0.01,[0.00662252 0.01986755 0.94039735 0.02649007 0.00662252],25,-0.13350656,0.72,47.04,0
3400,-0.452702703,-0.119982954,0.5,0.746415598,36,52.65798243,0,0.01,[0.         0.1        0.80769231 0.09230769 0.        ],25,-0.166969896,0.61,54.04,0
3500,0,-0.124327364,1,0.750506757,16,52.56542193,0,0.01,[0.01724138 0.10344828 0.79310345 0.0862069  0.        ],25,-0.117046787,0.68,52.6,0
3600,-0.284090909,-0.129541955,0.5,0.735314966,65,52.50928306,0,0.01,[0.00985222 0.21182266 0.73891626 0.03940887 0.        ],25,-0.107633899,0.72,48.96,0
3700,-0.092105263,-0.116682369,0.75,0.741766124,56,52.42293807,0,0.01,[0.05633803 0.05633803 0.54929577 0.33802817 0.        ],25,-0.141384189,0.69,47.6,0
3800,0,-0.129592421,1,0.720000156,35,52.41340178,0,0.01,[0.         0.2037037  0.77777778 0.01851852 0.        ],25,-0.117197678,0.78,45.6,0
